"Category","Item","Count","Files","Recommendation"
"other","antialiased","1","app/layout.tsx","OK"
"other","overflow-x-hidden","2","app/layout.tsx; app/enterprise/page.tsx","OK"
"sizing","min-h-screen","25","app/layout.tsx; app/not-found.tsx; app/[locale]/page.tsx; app/admin/page.tsx; app/api-docs/page.tsx; app/beta/page.tsx; app/demo/page.tsx; app/features/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/blog/[id]/page.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/dashboard/DashboardLayout.tsx; components/invite/InviteRedemptionPage.tsx; components/layouts/MainLayout.tsx; components/layouts/UnifiedLayout.tsx; components/layouts/UnifiedLayoutSimple.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx; components/sections/ModernHero.tsx; components/__tests__/ui/dashboard.test.tsx; lib/error-tracking/error-boundary.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"colors","bg-gray-50","45","app/layout.tsx; app/not-found.tsx; app/api-docs/page.tsx; app/community/page.tsx; app/demo/page.tsx; app/features/page.tsx; app/workspace-v2/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/history/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ErrorBoundary.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/admin/AdminDashboard.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/InviteRedemptionModal.tsx; components/documents/DocumentPreview.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/payment/PaymentResult.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/ui/FeatureDiscovery.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; lib/error-tracking/error-boundary.tsx","Consider tokenizing"
"other","animate-pulse","22","app/layout.tsx; app/dashboard/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/billing/BillingPage.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/documents/AgentVisualization.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/mobile/SwipeableNavigation.tsx; components/optimization/LazyWrapper.tsx; components/optimization/OptimizedComponentWrapper.tsx; components/sections/CommunityProof.tsx; components/ui/FallbackStates.tsx; components/ui/FeatureHint.tsx; components/ui/UnifiedGetStartedButton.tsx; components/ui/language-selector.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceSkeleton.tsx","Consider tokenizing"
"layout","flex","129","app/not-found.tsx; app/[locale]/page.tsx; app/admin/page.tsx; app/api-docs/page.tsx; app/community/page.tsx; app/dashboard/page.tsx; app/beta/page.tsx; app/blog/page.tsx; app/demo/page.tsx; app/documents/page.tsx; app/features/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/workspace-v2/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/history/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/settings/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ErrorBoundary.tsx; components/Footer.tsx; components/ServiceWorkerRegistration.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/AgentSwarmInterface.tsx; components/agents/VoiceControlInterface.tsx; components/admin/AdminDashboard.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/AuthErrorHandler.tsx; components/auth/AuthModal.tsx; components/auth/CreditDisplay.tsx; components/auth/InviteRedemptionModal.tsx; components/auth/UnifiedUserMenu.tsx; components/billing/BillingPage.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentPreview.tsx; components/documents/DocumentTranslator.tsx; components/documents/DocumentUpload.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyComponentLoader.tsx; components/layouts/MobileNotebookLMLayout.tsx; components/layouts/NotebookLMLayout.tsx; components/layouts/UnifiedLayout.tsx; components/layouts/UnifiedLayoutSimple.tsx; components/navigation/ModernNavbar.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx; components/performance/ComponentProfiler.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/theme/ThemeToggle.tsx; components/transitions/PageTransition.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ModernHero.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/BlogCard.tsx; components/ui/Button.tsx; components/ui/ErrorBoundary.tsx; components/ui/FallbackStates.tsx; components/ui/FeatureCard.tsx; components/ui/FeatureDiscovery.tsx; components/ui/FeatureHint.tsx; components/ui/Skeleton.tsx; components/ui/StudioActions.tsx; components/ui/Toast.tsx; components/ui/UniversalDropdown.tsx; components/ui/input.tsx; components/ui/language-selector.tsx; components/ui/textarea.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceLayout.tsx; components/workspace/WorkspaceSkeleton.tsx; components/__tests__/layout/navbar.test.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx; lib/error-tracking/error-boundary.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"other","items-center","122","app/not-found.tsx; app/admin/page.tsx; app/api-docs/page.tsx; app/community/page.tsx; app/dashboard/page.tsx; app/beta/page.tsx; app/blog/page.tsx; app/demo/page.tsx; app/features/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/workspace-v2/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/history/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/settings/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ErrorBoundary.tsx; components/Footer.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/AgentSwarmInterface.tsx; components/agents/VoiceControlInterface.tsx; components/admin/AdminDashboard.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/AuthErrorHandler.tsx; components/auth/AuthModal.tsx; components/auth/CreditDisplay.tsx; components/auth/InviteRedemptionModal.tsx; components/auth/UnifiedUserMenu.tsx; components/billing/BillingPage.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentPreview.tsx; components/documents/DocumentTranslator.tsx; components/documents/DocumentUpload.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyComponentLoader.tsx; components/layouts/MobileNotebookLMLayout.tsx; components/layouts/NotebookLMLayout.tsx; components/layouts/UnifiedLayout.tsx; components/layouts/UnifiedLayoutSimple.tsx; components/navigation/ModernNavbar.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx; components/performance/ComponentProfiler.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/theme/ThemeToggle.tsx; components/transitions/PageTransition.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ModernHero.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/BlogCard.tsx; components/ui/Button.tsx; components/ui/ErrorBoundary.tsx; components/ui/FallbackStates.tsx; components/ui/FeatureCard.tsx; components/ui/FeatureDiscovery.tsx; components/ui/FeatureHint.tsx; components/ui/Skeleton.tsx; components/ui/UniversalDropdown.tsx; components/ui/language-selector.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceLayout.tsx; components/workspace/WorkspaceSkeleton.tsx; components/__tests__/layout/navbar.test.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx; lib/error-tracking/error-boundary.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"other","justify-center","89","app/not-found.tsx; app/[locale]/page.tsx; app/admin/page.tsx; app/api-docs/page.tsx; app/community/page.tsx; app/beta/page.tsx; app/blog/page.tsx; app/demo/page.tsx; app/documents/page.tsx; app/features/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/settings/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/ErrorBoundary.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AgentSwarmInterface.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/analytics-dashboard.tsx; components/auth/AuthModal.tsx; components/auth/CreditDisplay.tsx; components/auth/InviteRedemptionModal.tsx; components/auth/UnifiedUserMenu.tsx; components/dashboard/DashboardLayout.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentTranslator.tsx; components/documents/DocumentUpload.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyComponentLoader.tsx; components/layouts/MobileNotebookLMLayout.tsx; components/layouts/NotebookLMLayout.tsx; components/layouts/UnifiedLayout.tsx; components/navigation/ModernNavbar.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/transitions/PageTransition.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ModernHero.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/Button.tsx; components/ui/ErrorBoundary.tsx; components/ui/FeatureCard.tsx; components/ui/FeatureHint.tsx; components/ui/language-selector.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/WorkspaceLayout.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx; lib/error-tracking/error-boundary.tsx; lib/i18n/provider.tsx","Consider tokenizing"
"typography","text-center","86","app/not-found.tsx; app/[locale]/page.tsx; app/admin/page.tsx; app/api-docs/page.tsx; app/community/page.tsx; app/dashboard/page.tsx; app/beta/page.tsx; app/blog/page.tsx; app/demo/page.tsx; app/documents/page.tsx; app/features/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/history/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/ErrorBoundary.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/AgentSwarmInterface.tsx; components/agents/VoiceControlInterface.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/AuthModal.tsx; components/auth/InviteRedemptionModal.tsx; components/billing/BillingPage.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentPreview.tsx; components/documents/DocumentUpload.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/layouts/NotebookLMLayout.tsx; components/navigation/ModernNavbar.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ModernHero.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/ErrorBoundary.tsx; components/ui/FallbackStates.tsx; components/ui/FeatureHint.tsx; components/ui/Skeleton.tsx; components/ui/language-selector.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceLayout.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx; lib/error-tracking/error-boundary.tsx","Consider tokenizing"
"typography","text-4xl","10","app/not-found.tsx; app/[locale]/page.tsx; app/community/page.tsx; app/beta/page.tsx; app/demo/page.tsx; app/features/page.tsx; components/invite/InviteRedemptionPage.tsx; components/sections/CommunityProof.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx","Consider tokenizing"
